DorM;Cache(M);Cores;Threads;Speed(GHz);Price;Name
1;24,75;18;36;3;1979;i9-9980XE
1;24,75;18;36;2,6;1979;i9-7980XE
1;22;16;32;3,1;1684;i9-9960X
1;22;16;32;2,8;1684;i9-7960X
1;19,25;14;28;3,3;1387;i9-9940X
1;19,25;14;28;3,1;1387;i9-7940X
1;19,25;12;24;3,5;1189;i9-9920X
1;16,5;12;24;2,9;1189;i9-7920X
1;19,25;10;20;3,5;989;i9-9900X
1;13,75;10;20;3,3;989;i9-7900X
1;16,5;10;20;3,3;889;i9-9820X
1;11;8;16;3,6;589;i7-7820X
1;16,5;8;16;3,8;589;i7-9800X
1;8,25;6;12;3,5;383;i7-7800X
1;8;4;8;4,3;339;i7-7740X
1;6;4;4;4;242;i5-7640X
1;16;8;16;3,6;488;i9-9900K
1;25;10;20;3;1723;i7-6950X
1;20;8;16;3;999;i7-5960X
1;20;8;16;3,2;1089;i7-6900K
1;15;6;12;3,6;617;i7-6850K
1;15;6;12;3,5;583;i7-5930K
1;15;6;12;3,4;434;i7-6800K
1;15;6;12;3,3;389;i7-5820K
1;12;8;8;3,6;374;i7-9700K
1;12;6;12;3,7;359;i7-8700K
1;8;4;8;4,2;339;i7-7700K
1;8;4;8;4;339;i7-6700K
1;12;6;12;3,2;303;i7-8700
1;8;4;8;3,6;303;i7-7700
1;8;4;8;3,4;303;i7-6700
1;9;6;6;3,7;262;i5-9600K
1;9;6;6;3,6;257;i5-8600K
1;6;4;4;3,8;242;i5-7600K
1;6;4;4;3,5;242;i5-6600K
1;9;6;6;3,1;213;i5-8600
1;6;4;4;3,5;213;i5-7600
1;6;4;4;3,3;213;i5-6600
1;9;6;6;3;192;i5-8500
1;6;4;4;3,4;192;i5-7500
1;6;4;4;3,2;192;i5-6500
1;9;6;6;2,8;182;i5-8400
1;6;4;4;3;182;i5-7400
1;6;4;4;2,7;182;i5-6400
1;6;4;4;2,8;182;i5-6402P
1;8;4;4;4;168;i3-8350K
1;4;2;4;4,2;168;i3-7350K
1;4;2;4;4,1;149;i3-7320
1;4;2;4;3,9;149;i3-6320
1;8;4;4;3,7;138;i3-8300 
1;4;2;4;4;138;i3-7300
1;4;2;4;3,8;138;i3-6300
1;6;4;4;3,6;117;i3-8100
1;3;2;4;3,9;117;i3-7100
1;3;2;4;3,7;117;i3-6100
1;3;2;4;3,6;117;i3-6098P
1;6;4;8;3,3;366;i7-5775C
1;6;4;8;3,3;348;i7-5775R
1;12;6;12;2,4;303;i7-8700T
1;8;4;8;2,9;303;i7-7700T
1;8;4;8;2,8;303;i7-6700T
1;4;4;4;3,1;276;i5-5675C
1;4;4;4;3,1;265;i5-5675R
1;9;6;6;2,3;213;i5-8600T
1;6;4;4;2,8;213;i5-7600T
1;6;4;4;2,7;213;i5-6600T
1;4;4;4;2,8;244;i5-5575R
1;9;6;6;2,1;192;i5-8500T
1;6;4;4;2,7;192;i5-7500T
1;6;4;4;2,5;192;i5-6500T
1;9;6;6;1,7;182;i5-8400T
1;6;4;4;2,4;182;i5-7400T
1;6;4;4;2,2;182;i5-6400T
1;8;4;4;3,2;138;i3-8300T 
1;4;2;4;3,5;138;i3-7300T 
1;4;2;4;3,3;138;i3-6300T
1;6;4;4;3,1;117;i3-8100T
1;3;2;4;3,4;117;i3-7100T
1;3;2;4;3,2;117;i3-6100T
1;4;2;4;3,9;86;G5600
1;3;2;4;3,7;86;G4620
1;3;2;2;3,6;86;G4520
1;4;2;4;3,8;75;G5500
1;3;2;4;3,6;75;G4600
1;3;2;2;3,5;75;G4500
1;4;2;4;3,7;64;G5400
1;3;2;4;3,5;64;G4560
1;3;2;2;3,3;64;G4400
1;4;2;4;3,2;75;G5500T
1;3;2;4;3;75;G4600T
1;3;2;2;3;75;G4500T
1;3;2;2;2,9;64;G4400T
1;4;2;4;3,1;64;G5400T
1;3;2;4;2,9;64;G4560T
